Created_At,Entities,Id,Language,Place,Source,Text,Username
Mon Oct 07 05:55:02 +0000 2019,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1181085503396823041', 'indices': [121, 144], 'url': 'https://t.co/Km4vB8ONu8'}], 'user_mentions': []}",1181085503396823041,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",A land with rich soil &amp; abundant water is the best gift we can offer to future generations. Appreciate your support… https://t.co/Km4vB8ONu8,Sadhguru
Mon Oct 07 02:45:05 +0000 2019,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1181037702189334529', 'indices': [117, 140], 'url': 'https://t.co/7QkbmJtmxQ'}], 'user_mentions': []}",1181037702189334529,en,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","If you treat your tools, including your own body and mind, with reverence, every activity will be a joyful and frui… https://t.co/7QkbmJtmxQ",Sadhguru
Sun Oct 06 17:02:19 +0000 2019,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180891043316654080', 'indices': [124, 147], 'url': 'https://t.co/Cu54BPb8T7'}], 'user_mentions': []}",1180891043316654080,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Wave of joy &amp; bliss overflows as over 10,000 seekers turn inward to take charge of their life &amp; wellbeing. This is… https://t.co/Cu54BPb8T7",Sadhguru
Sun Oct 06 16:23:59 +0000 2019,"{'hashtags': [{'indices': [0, 17], 'text': 'InnerEngineering'}], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180881396170145792', 'indices': [116, 139], 'url': 'https://t.co/IEqjwYUMth'}], 'user_mentions': []}",1180881396170145792,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",#InnerEngineering is an effort to make people realise that the source of all problems are within us and the source… https://t.co/IEqjwYUMth,Sadhguru
Sun Oct 06 15:51:20 +0000 2019,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180873178647805952', 'indices': [117, 140], 'url': 'https://t.co/R4Qk6jFYcc'}], 'user_mentions': []}",1180873178647805952,en,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","The imagery of Mahishasura at Devi's feet symbolizes that when the feminine enters, one's intelligence flowers or o… https://t.co/R4Qk6jFYcc",Sadhguru
Sun Oct 06 11:57:47 +0000 2019,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180814407535910917', 'indices': [117, 140], 'url': 'https://t.co/2l9yM3aH9y'}], 'user_mentions': []}",1180814407535910917,en,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","If twenty-five leaders on the planet make up their mind, we can make sure that everybody is eating enough. Every ch… https://t.co/2l9yM3aH9y",Sadhguru
Sun Oct 06 10:16:07 +0000 2019,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180788820469379074', 'indices': [117, 140], 'url': 'https://t.co/Zc3xalbqcc'}], 'user_mentions': []}",1180788820469379074,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Congratulations to run machine Rohit Sharma for the sensational doble-ton and shattering several records of Test cr… https://t.co/Zc3xalbqcc,Sadhguru
Sun Oct 06 08:40:18 +0000 2019,"{'hashtags': [{'indices': [27, 40], 'text': 'SwachhBharat'}], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180764706396524556', 'indices': [117, 140], 'url': 'https://t.co/48Slnp2H6E'}], 'user_mentions': []}",1180764706396524556,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",The journey and success of #SwachhBharat- read the making of this gigantic people's movement which continues to ins… https://t.co/48Slnp2H6E,Sadhguru
Sun Oct 06 02:45:05 +0000 2019,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180675314676064256', 'indices': [117, 140], 'url': 'https://t.co/x69RFvyubS'}], 'user_mentions': []}",1180675314676064256,en,,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>","Feminine is a powerful dimension of life. Without the feminine energy or ‘Shakti,’ there would be nothing in existe… https://t.co/x69RFvyubS",Sadhguru
Sat Oct 05 15:25:34 +0000 2019,"{'hashtags': [], 'symbols': [], 'urls': [{'display_url': 'twitter.com/i/web/status/1…', 'expanded_url': 'https://twitter.com/i/web/status/1180504306987888641', 'indices': [117, 140], 'url': 'https://t.co/Fq0CTSTJ1j'}], 'user_mentions': []}",1180504306987888641,en,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Of many crimes that humans can perpetrate upon each other, the worst of all crimes is Heaven, the very idea that th… https://t.co/Fq0CTSTJ1j",Sadhguru
